,Name,Difficulty,Number of reviews,Location,Distance,Elevation Gain,Route Type,Features,Rating
0,Potato Chip Rock via Mt. Woodson Trail,HARD,2454,"Lake Poway Park
",7.6 miles,"2,106 feet",Out & Back,"dogs on leash, hiking, mountain biking, nature trips, lake, views, wild flowers, wildlife, rocky, no shade,",4.5
1,Vernal and Nevada Falls via the Mist Trail,HARD,1539,"Yosemite National Park
",6.4 miles,"2,191 feet",Loop,"hiking, nature trips, walking, bird watching, forest, partially paved, river, views, waterfall, wild flowers, wildlife, bugs, rocky, snow, no dogs,",4.8
2,Eaton Canyon Trail,MODERATE,1524,"Eaton Canyon Natural Area Park
",3.5 miles,436 feet,Out & Back,"dogs on leash, kid friendly, hiking, trail running, cave, forest, river, views, waterfall, wild flowers, wildlife, over grown, rocky, scramble, washed out,",4.2
3,Alamere Falls via Coast Trail from Palomarin Trailhead,MODERATE,1461,"Point Reyes National Seashore
",8.8 miles,"1,335 feet",Out & Back,"hiking, nature trips, bird watching, beach, forest, lake, views, waterfall, wild flowers, wildlife, bugs, rocky, no dogs,",4.7
4,Cowles Mountain Trail,MODERATE,1946,"Mission Trails Regional Park
",2.9 miles,912 feet,Out & Back,"dogs on leash, kid friendly, hiking, mountain biking, nature trips, trail running, walking, bird watching, forest, views, wild flowers, rocky, no shade,",4.2
5,Iron Mountain Trail,MODERATE,1533,"Poway, California
",5.2 miles,"1,102 feet",Out & Back,"dogs on leash, kid friendly, hiking, mountain biking, trail running, views, wild flowers, rocky, no shade,",4.5
6,Black Star Canyon Trail,MODERATE,1613,"Cleveland National Forest
",6.8 miles,941 feet,Out & Back,"hiking, mountain biking, rock climbing, bird watching, cave, forest, river, views, waterfall, wild flowers, wildlife, blowdown, muddy, rocky, scramble, no shade,",4.4
7,Bridge to Nowhere via East Fork Trail,MODERATE,1127,"San Gabriel Mountains National Monument
",9.4 miles,"1,282 feet",Out & Back,"dog friendly, backpacking, camping, fishing, hiking, nature trips, trail running, bird watching, forest, rails trails, river, views, waterfall, wild flowers, wildlife, bridge out, over grown, rocky, scramble, washed out, historic site,",4.6
8,Mission Peak Loop from Stanford Avenue Staging Area,HARD,1447,"Mission Peak Regional Preserve
",5.8 miles,"2,135 feet",Loop,"dog friendly, camping, fishing, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, partially paved, views, wild flowers, wildlife, rocky, no shade,",4.4
9,Half Dome Trail,HARD,846,"Yosemite National Park
",14.8 miles,"5,164 feet",Out & Back,"hiking, nature trips, rock climbing, forest, partially paved, river, views, waterfall, wild flowers, wildlife, bugs, rocky, scramble, no dogs,",5
