,Name,Location,Difficulty,Number of reviews,Distance in miles,Elevation Gain in feet,Route Type,Rating,backpacking,bird watching,camping,cross country skiing,fishing,hiking,horseback riding,mountain biking,nature trips,off road driving,paddle sports,road biking,rock climbing,scenic driving,skiing,snowshoeing,surfing,trail running,walking,beach,cave,city walk,forest,historic site,hot springs,lake,rocky,rails trails,river,views,waterfall,wild flowers,wildlife,dog friendly,kid friendly,partially paved,stroller friendly,wheelchair friendly,no shade,snow,no dogs,dogs on leash,bugs,over grown,scramble,washed out,blowdown,muddy,bridge out,paved,off trail,closed
0,Potato Chip Rock via Mt. Woodson Trail,Lake Poway Park,3,2454,7.6,"2,106",1,4.5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,Vernal and Nevada Falls via the Mist Trail,Yosemite National Park,3,1539,6.4,"2,191",2,4.8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
2,Eaton Canyon Trail,Eaton Canyon Natural Area Park,2,1524,3.5,436,1,4.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
3,Alamere Falls via Coast Trail from Palomarin Trailhead,Point Reyes National Seashore,2,1461,8.8,"1,335",1,4.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
4,Cowles Mountain Trail,Mission Trails Regional Park,2,1946,2.9,912,1,4.2,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5,Iron Mountain Trail,"Poway, California",2,1533,5.2,"1,102",1,4.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6,Black Star Canyon Trail,Cleveland National Forest,2,1613,6.8,941,1,4.4,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
7,Bridge to Nowhere via East Fork Trail,San Gabriel Mountains National Monument,2,1127,9.4,"1,282",1,4.6,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
8,Mission Peak Loop from Stanford Avenue Staging Area,Mission Peak Regional Preserve,3,1447,5.8,"2,135",2,4.4,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Half Dome Trail,Yosemite National Park,3,846,14.8,"5,164",1,5.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
10,Upper Yosemite Falls Trail,Yosemite National Park,3,919,7.2,"3,175",1,4.8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
11,Three Sisters Waterfalls Trail,Cleveland National Forest,2,1274,4.2,997,1,4.7,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
12,Sturtevant Falls Trail,Angeles National Forest,2,808,3.0,646,1,4.3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
13,Icehouse Canyon to Cucamonga Peak Trail,Cucamonga Wilderness,3,1007,11.6,"4,314",1,4.8,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
14,Mount Tallac Trail,Lake Tahoe Basin Management Unit,3,979,10.2,"3,290",1,4.8,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
15,Mount San Antonio and Mount Baldy Notch Trail,Angeles National Forest,3,711,9.2,"3,940",2,4.7,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,Hidden Falls Trail,Hidden Falls Regional Park,2,1058,3.2,475,2,4.2,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,"Dipsea, Steep Ravine, and Matt Davis Loop",Mount Tamalpais State Park,2,722,6.8,"1,781",2,4.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
18,Etiwanda Falls Trail,North Etiwanda Preserve,2,1342,3.4,803,1,4.2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
19,Echo Mountain via Sam Merrill Trail,Angeles National Forest,2,1084,5.4,"1,417",1,4.5,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
20,Lands End Trail,Golden Gate National Recreation Area,2,901,3.4,534,2,4.6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,Berry Creek Falls Loop,West Waddell Creek State Wilderness,3,888,8.8,"2,221",2,4.7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,Castle Rock Trail to Saratoga Gap Trail and Ridge Trail Loop,Castle Rock State Park,2,842,5.5,"1,213",2,4.5,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
23,Eagle Lake Trail,Desolation Wilderness,2,700,1.8,433,1,4.6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
24,Mount Whitney via Mount Whitney Trail,Inyo National Forest,3,735,21.9,"6,715",1,4.9,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
25,Solstice Canyon Loop Trail,Santa Monica Mountains National Recreation Area,1,786,3.2,797,2,4.4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
26,Torrey Pines Beach Trail Loop,Torrey Pines State Natural Reserve,1,857,2.3,364,2,4.6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
27,Mount Wilson Loop via Sturtevant and Winter Creek Trails,Chantry Flat Recreation Area,3,892,14.2,"4,291",2,4.6,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
28,Moro Rock Trail,Sequoia National Park,2,523,0.4,187,1,4.6,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,Lower Yosemite Falls Trail,Yosemite National Park,1,666,1.0,52,2,4.4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,Escondido Falls Trail,Escondido Canyon Park,1,987,3.7,626,1,4.1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
31,Runyon Canyon Trail,Runyon Canyon Park,2,828,2.6,764,2,4.1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cataract Falls Trail,Mount Tamalpais Watershed,2,658,3.3,"1,082",1,4.6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
