Index,Name,Difficulty,Number of reviews,Location
#1,Potato Chip Rock via Mt. Woodson Trail,HARD,2454,"Lake Poway Park
"
#2,Vernal and Nevada Falls via the Mist Trail,HARD,1539,"Yosemite National Park
"
#3,Eaton Canyon Trail,MODERATE,1524,"Eaton Canyon Natural Area Park
"
#4,Alamere Falls via Coast Trail from Palomarin Trailhead,MODERATE,1461,"Point Reyes National Seashore
"
#5,Cowles Mountain Trail,MODERATE,1946,"Mission Trails Regional Park
"
#6,Iron Mountain Trail,MODERATE,1533,"Poway, California
"
#7,Black Star Canyon Trail,MODERATE,1613,"Cleveland National Forest
"
#8,Bridge to Nowhere via East Fork Trail,MODERATE,1127,"San Gabriel Mountains National Monument
"
#9,Mission Peak Loop from Stanford Avenue Staging Area,HARD,1447,"Mission Peak Regional Preserve
"
#10,Half Dome Trail,HARD,846,"Yosemite National Park
"
#11,Upper Yosemite Falls Trail,HARD,919,"Yosemite National Park
"
#12,Three Sisters Waterfalls Trail,MODERATE,1274,"Cleveland National Forest
"
#13,Sturtevant Falls Trail,MODERATE,808,"Angeles National Forest
"
#14,Icehouse Canyon to Cucamonga Peak Trail,HARD,1007,"Cucamonga Wilderness
"
#15,Mount Tallac Trail,HARD,979,"Lake Tahoe Basin Management Unit
"
#16,Mount San Antonio and Mount Baldy Notch Trail,HARD,711,"Angeles National Forest
"
#17,Hidden Falls Trail,MODERATE,1058,"Hidden Falls Regional Park
"
#18,"Dipsea, Steep Ravine, and Matt Davis Loop",MODERATE,722,"Mount Tamalpais State Park
"
#19,Etiwanda Falls Trail,MODERATE,1342,"North Etiwanda Preserve
"
#20,Echo Mountain via Sam Merrill Trail,MODERATE,1084,"Angeles National Forest
"
#21,Lands End Trail,MODERATE,901,"Golden Gate National Recreation Area
"
#22,Berry Creek Falls Loop,HARD,888,"West Waddell Creek State Wilderness
"
#23,Castle Rock Trail to Saratoga Gap Trail and Ridge Trail Loop,MODERATE,842,"Castle Rock State Park
"
#24,Eagle Lake Trail,MODERATE,700,"Desolation Wilderness
"
#25,Mount Whitney via Mount Whitney Trail,HARD,735,"Inyo National Forest
"
#26,Solstice Canyon Loop Trail,EASY,786,"Santa Monica Mountains National Recreation Area
"
#27,Torrey Pines Beach Trail Loop,EASY,857,"Torrey Pines State Natural Reserve
"
#28,Mount Wilson Loop via Sturtevant and Winter Creek Trails,HARD,892,"Chantry Flat Recreation Area
"
#29,Moro Rock Trail,MODERATE,523,"Sequoia National Park
"
#30,Lower Yosemite Falls Trail,EASY,666,"Yosemite National Park
"
#31,Escondido Falls Trail,EASY,987,"Escondido Canyon Park
"
#32,Runyon Canyon Trail,MODERATE,828,"Runyon Canyon Park
"
#33,Cataract Falls Trail,MODERATE,658,"Mount Tamalpais Watershed
"
#34,Temescal Canyon Trail,MODERATE,739,"Topanga State Park
"
#35,Horsetail Falls Trail,MODERATE,718,"El Dorado National Forest
"
#36,Hoegees Campground Loop: Upper and Lower Winter Creek Trail Loop,MODERATE,536,"Chantry Flat Recreation Area
"
#37,Vivian Creek Trail to San Gorgonio Peak,HARD,677,"San Gorgonio Wilderness
"
#38,San Jacinto Peak from The Tramway,HARD,702,"Mount San Jacinto State Park
"
#39,Dawn Mine and Sunset Trail Loop,HARD,548,"Angeles National Forest
"
#40,Cedar Creek Falls Trail,MODERATE,739,"Cleveland National Forest
"
#41,Ryan Mountain Trail,MODERATE,865,"Joshua Tree National Park
"
#42,El Cajon Mountain Trail,HARD,894,"El Capitan County Preserve
"
#43,"Paradise Falls via Mesa, Teepee and Moonridge Trail",MODERATE,665,"Wildwood Regional Park
"
#44,Stevens Trail,MODERATE,832,"Tahoe National Forest
"
#45,Switzer Falls via Gabrielino Trail,MODERATE,532,"San Gabriel Wilderness
"
#46,El Moro Canyon Loop Trail,MODERATE,674,"Crystal Cove State Park
"
#47,Clementine Trail to Clark's Pool,MODERATE,756,"Auburn State Recreation Area
"
#48,Lake Hodges Overlook Trail,MODERATE,805,"Elfin Forest Recreational Reserve
"
#49,Tomales Point Trail,MODERATE,605,"Point Reyes National Seashore
"
#50,Santa Margarita River Trail,MODERATE,738,"Fallbrook, California
"
#51,Los Penasquitos Canyon Trail,EASY,805,"Los Penasquitos Canyon Preserve
"
#52,Rubicon Trail,MODERATE,494,"D. L. Bliss State Park
"
#53,Heart Rock Trail,EASY,702,"San Bernardino National Forest
"
#54,"French, Bridle and Stream Trail Loop",MODERATE,536,"Redwood Regional Park
"
#55,Glacier Point Trail,EASY,226,"Yosemite National Park
"
#56,Fortuna Mountain Trail,HARD,623,"Mission Trails Regional Park
"
#57,Clouds Rest Trail via Tenaya Lake,HARD,423,"Yosemite National Park
"
#58,Sentinel Dome Trail,MODERATE,378,"Yosemite National Park
"
#59,Four Mile Trail,HARD,513,"Yosemite National Park
"
#60,Claremont Hills Wilderness Trail,MODERATE,736,"Claremont Hills Wilderness Park
"
#61,Potato Mountain Wilderness Trail,MODERATE,816,"Herman Garner Biological Preserve
"
#62,Backbone Trail to Sandstone Peak and Mishe Mokwa Trail Loop,MODERATE,648,"Santa Monica Mountains National Recreation Area
"
#63,San Bernardino Peak Trail via Angelus Oaks,HARD,515,"San Gorgonio Wilderness
"
#64,Castle Rock Trail,MODERATE,637,"San Bernardino National Forest
"
#65,Big Pine Lakes Trail,HARD,384,"John Muir Wilderness
"
#66,Homestead to Blue Ridge Loop,HARD,685,"Stebbins Cold Canyon Reserve
"
#67,Seaview and Big Springs Trails Loop,MODERATE,591,"Tilden Regional Park
"
#68,Mirror Lake via Valley Loop Trail,EASY,533,"Yosemite National Park
"
#69,Trail Canyon Falls,MODERATE,567,"Angeles National Forest
"
#70,Palos Verdes Bluffs Trail,MODERATE,493,"Portuguese Bend Reserve
"
#71,Muir Woods Trail,EASY,424,"Muir Woods National Monument
"
#72,Mount Rubidoux Trail,EASY,843,"Mount Rubidoux Park
"
#73,Point Lobos Loop Trail,EASY,509,"Point Lobos State Natural Reserve
"
#74,Mount Baden Powell Trail,HARD,575,"Angeles National Forest
"
#75,Donner Creek Loop Trail,MODERATE,428,"Mount Diablo State Park
"
#76,Hollyridge Trail to Hollywood Sign Viewpoint,MODERATE,373,"Griffith Park
"
#77,Stonewall Peak Trail,EASY,618,"Cuyamaca Rancho State Park
"
#78,South Fortuna Trail and Fortuna Saddle Trail Loop,MODERATE,493,"Mission Trails Regional Park
"
#79,Cascade Falls Trail,MODERATE,378,"Lake Tahoe Basin Management Unit
"
#80,Ladder Canyon and Painted Canyon Trail,MODERATE,542,"Mecca Hills Wilderness
"
#81,Suicide Rock Trail,MODERATE,517,"Mount San Jacinto State Park
"
#82,Lake Poway Loop Trail,MODERATE,761,"Lake Poway Park
"
#83,Eagle Rock via the PCT,MODERATE,599,"Cleveland National Forest
"
#84,Mount Baldy via Devil's Backbone Trail,HARD,374,"Angeles National Forest
"
#85,Quicksilver Trail,MODERATE,524,"Almaden Quicksilver County Park
"
#86,Skyline Drive to Beek's Place,MODERATE,538,"Cleveland National Forest
"
#87,Ice House Canyon Trail,HARD,419,"Cucamonga Wilderness
"
#88,Los Liones Canyon and East Topanga Fire Road,HARD,496,"Topanga State Park
"
#89,Whittemore Gulch and Purisima Creek Loop Trail,HARD,393,"Purisima Creek Redwoods Open Space Preserve
"
#90,Big Horn Mine Trail,EASY,505,"Sheep Mountain Wilderness
"
#91,Bonita Falls Trail,MODERATE,514,"San Bernardino National Forest
"
#92,Feather Falls Loop Trail,MODERATE,504,"Plumas National Forest
"
#93,Devils Chair Trail,MODERATE,511,"San Gabriel Mountains National Monument
"
#94,Tokopah Falls via Tokopah Valley Trail,EASY,312,"Sequoia National Park
"
#95,Murphy Ranch Trail,MODERATE,528,"Rustic Canyon Park
"
#96,Mist Falls Trail,MODERATE,274,"Kings Canyon National Park
"
#97,"Heather Lake, Emerald Lake, and Pear Lake Trail via Watchtower and Pear Lake Trails",HARD,235,"Sequoia National Park
"
#98,"Lake Chabot: West Shore, Bass Cove, Columbine, Honker Bay, East Shore Loop",MODERATE,468,"Lake Chabot Regional Park
"
#99,Kwaay Paay Peak Trail,MODERATE,502,"Mission Trails Regional Park
"
#100,Lake Aloha Trail,HARD,228,"Desolation Wilderness
"
#101,Mugu Peak Trail,HARD,505,"Point Mugu State Park
"
#102,Pyles Peak Trail,MODERATE,436,"Mission Trails Regional Park
"
#103,Monserate Mountain Trail Loop,HARD,615,"Fallbrook, California
"
#104,Lassen Peak,HARD,380,"Lassen Volcanic National Park
"
#105,"Cataract Falls and Potrero Meadows Loop (Cataract, Helen Market, Kent, Benstein Trails)",MODERATE,326,"Mount Tamalpais Watershed
"
#106,Barker Dam Nature Trail,EASY,374,"Joshua Tree National Park
"
#107,Waterfalls of Mount Diablo Loop Trail,HARD,382,"Mount Diablo State Park
"
#108,Woodson Mountain and Potato Chip Rock via Hwy 67,MODERATE,568,"Ramona, California
"
#109,"PG&E, Upper High Meadow, Wildcat, Roque Valley and Coyote Loop",MODERATE,373,"Rancho San Antonio County Park
"
#110,Five Lakes Trail,MODERATE,405,"Tahoe National Forest
"
#111,Bassi Falls,EASY,342,"El Dorado National Forest
"
#112,Skyline Drive Trail to Water Tank,MODERATE,588,"Hellman Park
"
#113,Lake Calavera Loop Trail,MODERATE,651,"Calavera Park
"
#114,Fryman Canyon Trail,MODERATE,572,"Wilacre Park
"
#115,Paintbrush Trail to Portuguese Bend,MODERATE,270,"Portuguese Bend Reserve
"
#116,Hidden Valley Nature Trail,EASY,430,"Joshua Tree National Park
"
#117,Michael D. Antonovich Trail,EASY,519,"Walnut Creek Community Regional Park
"
#118,Shirley Canyon Cascades Trail,HARD,435,"Tahoe National Forest
"
#119,Bridalveil Fall Trail,EASY,350,"Yosemite National Park
"
#120,"Lake Anza, Wildcat Gorge, Meadows Canyon, Curran Trails",EASY,273,"Tilden Regional Park
"
#121,Hollywood Sign via Canyon Drive,MODERATE,277,"Griffith Park
"
#122,Marble Falls Trail,MODERATE,326,"Sequoia National Park
"
#123,Pine Knot Trail to Grand View Point,MODERATE,337,"San Bernardino National Forest
"
#124,Mission Peak from Ohlone College,HARD,500,"Mission Peak Regional Preserve
"
#125,Bishop Peak Trail from Patricia Drive,MODERATE,489,"Bishop Peak Natural Area
"
#126,Echo Lakes Trail,MODERATE,267,"Desolation Wilderness
"
#127,Cuyamaca Peak via Azalea Glen Loop,MODERATE,430,"Cuyamaca Rancho State Park
"
#128,Granite Lake & Maggie's Peaks,MODERATE,229,"Lake Tahoe Basin Management Unit
"
#129,Annie's Canyon via North Rios Trail,MODERATE,540,"San Elijo Lagoon Ecological Reserve
"
#130,Marion Mountain to San Jacinto,HARD,289,"Mount San Jacinto State Park
"
#131,Beaudry Loop,MODERATE,529,"Brand Park
"
#132,Mother Miguel Mountain Via Rock House Trail,MODERATE,541,"San Diego National Wildlife Refuge
"
#133,Mount Zion Loop - Sturtevant to Winter Creek Trails,HARD,269,"Angeles National Forest
"
#134,Millard Canyon Falls Trail,MODERATE,326,"Angeles National Forest
"
#135,Lewis Creek National Scenic Trail to Corlieu Falls and Red Rock Falls,MODERATE,405,"Sierra National Forest
"
#136,Loch Leven Lakes Trail,MODERATE,389,"Tahoe National Forest
"
#137,Skyline Trail: Cactus to Clouds,HARD,357,"Mount San Jacinto State Park
"
#138,Dipsea Trail,HARD,281,"Muir Woods National Monument
"
#139,General Sherman Tree Trail,EASY,246,"Sequoia National Park
"
#140,Malibu Lake Trail,MODERATE,320,"Malibu Creek State Park
"
#141,Santa Paula Canyon and Punch Bowls Trail,MODERATE,374,"Los Padres National Forest
"
#142,Fairy Falls Trail to Beale/Shingle Falls,MODERATE,405,"Spenceville Wildlife Area
"
#143,Peters Canyon Lake View Trail,EASY,442,"Peters Canyon Regional Park
"
#144,Fullerton Loop Trail,MODERATE,391,"Fullerton, California
"
#145,Rodeo Beach Coastal Trail Loop,MODERATE,307,"Golden Gate National Recreation Area
"
#146,Vernal Falls,MODERATE,164,"Yosemite National Park
"
#147,Crystal Lake Trail,MODERATE,259,"Inyo National Forest
"
#148,Marshall Canyon Trail,EASY,355,"Marshall Canyon Regional Park
"
#149,Stanford Dish Loop Trail,MODERATE,465,"Stanford, California
"
#150,Sly Park Jenkinson Lake Loop Trail,MODERATE,345,"Sly Park Recreation Area
"
#151,"Wisdom Tree, Cahuenga Peak and Mount Lee Summit Loop",HARD,340,"Griffith Park
"
#152,Mount Hollywood Trail,MODERATE,257,"Griffith Park
"
#153,Montara Mountain North Peak Loop Trail,MODERATE,302,"McNee Ranch State Park
"
#154,Double Peak Trail from Discover Lake,MODERATE,419,"Lakeview Park
"
#155,Borrego Palm Canyon,MODERATE,422,"Anza-Borrego Desert State Park
"
#156,Hermit Falls Trail,MODERATE,291,"Arcadia Wilderness Park
"
#157,Sequoia Trail,MODERATE,302,"Big Basin Redwoods State Park
"
#158,Ernie Maxwell Scenic Trail,EASY,438,"San Jacinto Wilderness
"
#159,Montara Mountain Trail,HARD,350,"San Pedro Valley County Park
"
#160,Fern Canyon Loop Trail,EASY,298,"Prairie Creek Redwoods State Park
"
#161,Lost Palms Oasis,MODERATE,265,"Joshua Tree National Park
"
#162,Borrego Canyon Trail to Red Rock Canyon,EASY,361,"Whiting Ranch Wilderness Park
"
#163,Soberanes Canyon Trail,HARD,351,"Garrapata State Park
"
#164,"Round Top, Volcanic and Skyline Trail Loop",EASY,250,"Robert Sibley Volcanic Regional Preserve
"
#165,Lafayette Reservoir Nature Area Rim Trail,MODERATE,466,"Lafayette Reservoir Recreation Area
"
#166,The Slot,MODERATE,368,"Anza-Borrego Desert State Park
"
#167,Crystal Cove Perimeter Loop,MODERATE,310,"Crystal Cove State Park
"
